VehicleSignals(0e9902069232,Some(Timestamp(1587467671,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 60.0, odometer -> 61.0, uptime -> 3660000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587468991,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 49.0, odometer -> 83.0, uptime -> 4980000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469051,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 46.0, odometer -> 84.0, uptime -> 5040000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469111,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 48.0, odometer -> 85.0, uptime -> 5100000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469171,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 48.0, odometer -> 86.0, uptime -> 5160000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469231,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 45.0, odometer -> 87.0, uptime -> 5220000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469291,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 45.0, odometer -> 88.0, uptime -> 5280000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469351,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 45.0, odometer -> 89.0, uptime -> 5340000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469411,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 45.0, odometer -> 90.0, uptime -> 5400000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469471,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 48.0, odometer -> 91.0, uptime -> 5460000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469531,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 45.0, odometer -> 92.0, uptime -> 5520000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469591,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 45.0, odometer -> 93.0, uptime -> 5580000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469651,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 45.0, odometer -> 94.0, uptime -> 5640000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469711,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 46.0, odometer -> 95.0, uptime -> 5700000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469771,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 43.0, odometer -> 96.0, uptime -> 5760000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469831,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 41.0, odometer -> 97.0, uptime -> 5820000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469891,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 41.0, odometer -> 98.0, uptime -> 5880000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587469951,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 40.0, odometer -> 99.0, uptime -> 5940000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470011,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 42.0, odometer -> 100.0, uptime -> 6000000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470071,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 38.0, odometer -> 101.0, uptime -> 6060000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470131,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 35.0, odometer -> 102.0, uptime -> 6120000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470191,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 35.0, odometer -> 103.0, uptime -> 6180000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470251,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 35.0, odometer -> 104.0, uptime -> 6240000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470311,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 35.0, odometer -> 105.0, uptime -> 6300000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470371,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 35.0, odometer -> 106.0, uptime -> 6360000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470431,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 35.0, odometer -> 107.0, uptime -> 6420000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470491,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 38.0, odometer -> 108.0, uptime -> 6480000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470551,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 38.0, odometer -> 109.0, uptime -> 6540000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470611,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 42.0, odometer -> 110.0, uptime -> 6600000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470671,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 0.0, odometer -> 110.0, uptime -> 6660000.0, isCharging -> 1.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470731,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 0.0, odometer -> 110.0, uptime -> 6720000.0, isCharging -> 1.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470791,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 0.0, odometer -> 110.0, uptime -> 6780000.0, isCharging -> 1.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470851,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 0.0, odometer -> 110.0, uptime -> 6840000.0, isCharging -> 1.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470911,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 0.0, odometer -> 110.0, uptime -> 6900000.0, isCharging -> 1.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587470971,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 0.0, odometer -> 110.0, uptime -> 6960000.0, isCharging -> 1.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471031,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 44.0, odometer -> 111.0, uptime -> 7020000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471091,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 44.0, odometer -> 112.0, uptime -> 7080000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471151,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 44.0, odometer -> 113.0, uptime -> 7140000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471211,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 44.0, odometer -> 114.0, uptime -> 7200000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471271,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 44.0, odometer -> 115.0, uptime -> 7260000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471331,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 42.0, odometer -> 116.0, uptime -> 7320000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471391,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 44.0, odometer -> 117.0, uptime -> 7380000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471451,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 44.0, odometer -> 118.0, uptime -> 7440000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471511,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 46.0, odometer -> 119.0, uptime -> 7500000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471571,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 44.0, odometer -> 120.0, uptime -> 7560000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471631,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 44.0, odometer -> 121.0, uptime -> 7620000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471691,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 44.0, odometer -> 122.0, uptime -> 7680000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471751,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 39.0, odometer -> 123.0, uptime -> 7740000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471811,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 39.0, odometer -> 124.0, uptime -> 7800000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471871,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 39.0, odometer -> 125.0, uptime -> 7860000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471931,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 37.0, odometer -> 126.0, uptime -> 7920000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587471991,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 35.0, odometer -> 127.0, uptime -> 7980000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472051,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 35.0, odometer -> 128.0, uptime -> 8040000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472111,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 38.0, odometer -> 129.0, uptime -> 8100000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472171,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 36.0, odometer -> 130.0, uptime -> 8160000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472231,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 36.0, odometer -> 131.0, uptime -> 8220000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472291,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 36.0, odometer -> 132.0, uptime -> 8280000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472351,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 36.0, odometer -> 133.0, uptime -> 8340000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472411,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 36.0, odometer -> 134.0, uptime -> 8400000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472471,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 36.0, odometer -> 135.0, uptime -> 8460000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472531,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 39.0, odometer -> 136.0, uptime -> 8520000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472591,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 39.0, odometer -> 137.0, uptime -> 8580000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472651,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 39.0, odometer -> 138.0, uptime -> 8640000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472711,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 39.0, odometer -> 139.0, uptime -> 8700000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472771,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 40.0, odometer -> 140.0, uptime -> 8760000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472831,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 42.0, odometer -> 141.0, uptime -> 8820000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472891,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 42.0, odometer -> 142.0, uptime -> 8880000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587472951,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 42.0, odometer -> 143.0, uptime -> 8940000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587473011,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 42.0, odometer -> 144.0, uptime -> 9000000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587473071,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 39.0, odometer -> 145.0, uptime -> 9060000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587473131,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 39.0, odometer -> 146.0, uptime -> 9120000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587473191,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 34.0, odometer -> 147.0, uptime -> 9180000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587473251,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 30.0, odometer -> 147.0, uptime -> 9240000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587473311,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 30.0, odometer -> 147.0, uptime -> 9300000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587473371,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 30.0, odometer -> 147.0, uptime -> 9360000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587473431,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 34.0, odometer -> 148.0, uptime -> 9420000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587473491,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 30.0, odometer -> 148.0, uptime -> 9480000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587473551,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 30.0, odometer -> 148.0, uptime -> 9540000.0, isCharging -> 0.0),UnknownFieldSet(Map()))
VehicleSignals(0e9902069232,Some(Timestamp(1587473611,0,UnknownFieldSet(Map()))),Map(currentSpeed -> 27.0, odometer -> 148.0, uptime -> 9600000.0, isCharging -> 0.0),UnknownFieldSet(Map()))

